Player,Rating,Deviation,Games,Win,Draw,Loss,Lag,country
Endre Fodstad,2103.99688324933,107.490122096954,17,7,0,10,0,Norway
Richard McCammon,2103.78296606998,146.657942573725,6,2,0,4,0,Middle.East
Henrik Ekholm,2098.51652355783,109.952252745844,17,7,0,10,0,Switzerland
Kirill Ustilovskiy,2094.03383346404,0,0,0,0,0,0,Russia
MÃ¡tÃ© TÃºri,2093.573890824,155.77143411707,6,3,0,3,6,Hungary
Tim Bossuyt,2091.81476193383,125.661414496572,11,4,0,7,6,Belgium
Tudor Stanescu,2089.5805724578,155.78004843066,6,3,0,3,6,Switzerland
Dan Porter,2089.28958739572,155.904534695931,6,2,0,4,0,Ireland
Byron Liles,2088.41367892039,147.371467897384,6,2,0,4,0,Wales
Aaron Boyhan,2086.90689531382,165.012131179619,5,2,0,3,12,Wales
Kailam Dale,2084.65809143925,166.263842020717,5,2,0,3,12,Wales
Matt Townsend,2084.4688301361,155.247666960161,6,2,0,4,6,England
AndrÃ¡s PorkolÃ¡b,2084.40957226691,150.434643324049,6,3,0,3,6,Hungary
Vasco Oliveira,2083.83474112116,120.208323081129,12,4,0,8,0,Portugal
Orelkin Evgeny,2082.17434481785,161.79160403908,6,2,0,4,6,Russia
Harry Cullen,2080.07905584762,119.381500505715,12,4,0,8,0,Ireland
Terje Boye,2078.43122795767,104.360782247504,17,6,0,11,0,Norway
Asbjorn Willarsrud,2078.40092349531,200,0,0,0,0,0,Norway
Jarle Svendsrud,2078.40092349531,200,0,0,0,0,0,Norway
Martin Andre Rohme,2078.40092349531,200,0,0,0,0,0,Norway
Mats Aubell,2078.40092349531,200,0,0,0,0,0,Norway
Jason Enos,2078.14218751747,191.772414446544,4,1,0,3,13,England
John Henneli,2078.12818333407,131.270543555715,11,4,0,7,0,Norway
Milo Fuggin,2075.36583301869,166.139648023408,5,2,0,3,12,Italy
Luke Mason,2074.92993973285,124.612496179706,12,3,0,9,0,Scotland
Antoine Bilocca,2073.13180593221,156.922659189737,6,2,0,4,6,Malta
Jay Mcleod,2073.10619569756,147.746969134826,6,3,0,3,0,China
Marc Morgan,2070.84486024799,170.067668605426,6,2,0,4,0,Wales
Damiano Pennini,2070.74799419279,122.149212726247,12,3,0,9,0,Italy
Evgenii Mikhailovskii,2068.59685935172,124.10586070929,12,4,0,8,0,Russia
Ed Smith,2067.72749208744,160.740055399064,6,2,0,4,6,England
Henry  Lehmann,2065.46066707282,178.410914972499,5,1,0,4,12,Germany
Enrique Lopez,2063.29182340151,145.838048945427,6,2,0,4,0,Spain
Hermanni Raatevaara,2061.79807751542,125.486501989577,11,3,0,8,0,Finland
Damien Ribeiro,2061.11638387757,158.906800759851,6,2,0,4,6,France
Ciaran Bolger,2059.82658220958,124.583534556927,11,4,0,7,6,Ireland
Franck Primavera,2056.80906534044,163.494594912578,5,2,0,3,12,NA
Liang Yan,2054.90912949529,167.744144174894,6,3,0,3,6,China
Harm Kleijnen,2054.64638826616,106.601379598591,17,6,0,11,0,Netherlands
Joao Morais,2053.96097073538,108.339618886786,17,6,0,11,0,Portugal
Soren Lister,2052.77581642569,155.268219925879,6,2,0,4,0,Denmark
Eduard Berdjugin,2050.18914764595,149.047157457327,6,3,0,3,6,Latvia
Tomas Mennes,2048.49384533108,119.57831737302,12,5,0,7,0,Belgium
Paul Bridge,2047.10267182395,167.700504572411,5,1,0,4,12,Denmark
Csaba Mile,2046.07318190612,200,0,0,0,0,0,Hungary
Kozhushko Olexii,2043.56801576473,157.041610188257,6,2,0,4,6,Ukraine
Ian Alderdice,2043.38213129466,117.311083489922,12,4,0,8,0,Northern.Ireland
Doug Fazzani,2042.57417843335,175.081222169264,5,1,0,4,12,Wales
Marnix Baas,2042.23382572454,150.924108323085,6,2,0,4,0,Netherlands
Alun Evans,2039.36315641162,200,0,0,0,0,0,Wales
Ben Jenkins,2039.36315641162,200,0,0,0,0,0,Wales
Pete Hillard,2039.36315641162,200,0,0,0,0,0,Wales
Sam Derbyshire,2039.36315641162,200,0,0,0,0,0,Wales
Scott Hooper-Jones,2039.36315641162,200,0,0,0,0,0,Wales
JÃ¡nos Kendi,2039.30793654833,161.590337493279,5,2,0,3,6,Hungary
Gorbachyk Oleksii,2033.4068971491,164.487788466405,6,3,0,3,6,Ukraine
RJ Marchant,2028.96636714996,148.85126033995,6,2,0,4,6,Canada
Bozikas Dimitrios,2025.48085918297,158.468005686208,6,1,0,5,0,Greece
Martin Polák,2025.37810031719,103.723904263988,17,5,0,12,0,Slovakia
Eric Liu,2024.04749813755,147.114595907023,6,2,0,4,0,Middle.East
Panagiotis Psonis,2023.62833487,153.507026453573,6,3,0,3,6,Greece
Andreas Rizopoulos,2022.81829878189,200,0,0,0,0,0,Greece
Dimitris Kasdiovasilis,2022.81829878189,200,0,0,0,0,0,Greece
Giannis Agoras,2022.81829878189,200,0,0,0,0,0,Greece
Konstantinos Oikonomopoulos,2022.81829878189,200,0,0,0,0,0,Greece
Marios Oikonomopoulos,2022.81829878189,200,0,0,0,0,0,Greece
Nikos Kerazoglou,2022.81829878189,200,0,0,0,0,0,Greece
Panagiotis Demiris,2022.81829878189,200,0,0,0,0,0,Greece
Spyros Karakitsos,2022.81829878189,200,0,0,0,0,0,Greece
Mikko Kulmala,2022.25692906623,165.284421896539,5,1,0,4,12,Finland
Paul Letherby,2021.16736495511,151.542742346784,6,2,0,4,0,Wales
Mikhail Novikov,2020.43724893388,172.33093125731,6,3,0,3,0,Russia
Alexis Celnik,2019.85745186811,163.261407523486,6,2,0,4,0,Wales
Niels De Vlieger,2015.06449200828,200,0,0,0,0,0,Belgium
Steven De Canck,2015.06449200828,200,0,0,0,0,0,Belgium
Daniel Bogdanoski,2011.42683861439,120.244469847755,12,4,0,8,0,Czech.Republic
Rhys Phillips,2008.36125246131,149.258684551351,6,1,0,5,0,Wales
Gerry Nolan,2007.96198619171,126.57942935332,11,4,0,7,6,Ireland
Petr Cermak,2007.67156901102,164.482251268314,6,3,0,3,6,Czech.Republic
Spyros Pavlis,2007.42761310779,149.362378686211,6,2,0,4,6,Greece
Adrian Ramos,2007.02519436976,200,0,0,0,0,0,Spain
Javier Sanchez,2007.02519436976,200,0,0,0,0,0,Spain
Jorge Cerdá,2007.02519436976,200,0,0,0,0,0,Spain
Josep Raúl López,2007.02519436976,200,0,0,0,0,0,Spain
Manuel Tulla,2007.02519436976,200,0,0,0,0,0,Spain
Fraser Phillips,2006.22164680513,0,0,0,0,0,0,Middle.East
Andy Powell,2006.22164680513,200,0,0,0,0,0,Middle.East
Bryce Geeraert,2006.22164680513,200,0,0,0,0,0,Middle.East
HÃ¥vard Kongsrud,2004.29716629794,173.574268365292,5,1,0,4,12,Norway
Gert Vos,2003.92137423402,150.265678011917,6,2,0,4,0,Belgium
Krzysztof Pyra,2000.49477953289,173.522218954817,6,1,0,5,6,Poland
Alexander Loginov,1998.93156533658,117.868649530679,12,4,0,8,0,Russia
Christoph Schrage,1997.09578924651,150.781927840869,6,1,0,5,0,Spain
Nicolas Smit,1996.90281633996,170.688975556829,5,1,0,4,12,Belgium
Andre Valentim,1995.79203471711,200,0,0,0,0,0,Portugal
Bruno Settimelli,1995.79203471711,200,0,0,0,0,0,Portugal
Salvador Caetano,1995.79203471711,200,0,0,0,0,0,Portugal
Alexis Vallalta,1995.79203471711,0,0,0,0,0,0,Portugal
Maksimiljan Galos,1995.1175265464,151.578594644603,6,2,0,4,6,Ukraine
Aubrey Linen,1994.33774591684,155.938170506169,6,2,0,4,0,Middle.East
PÃ¤r-Ola Nilsson,1994.16700946052,170.245244220929,5,1,0,4,12,Sweden
Robert Willemstein,1993.89591077917,173.996622298333,5,1,0,4,12,Netherlands
Georg Buscha,1993.54234481983,155.141584554511,6,1,0,5,0,Netherlands
Martyn Jenkins,1992.5727173176,133.729383016847,11,2,0,9,0,Wales
Simon Henry,1991.74163199373,176.460204454027,5,2,0,3,12,France
Teppo Aro,1987.26771612105,139.535331341974,10,3,0,7,7,Finland
Zoltan Gaal,1985.65181248434,150.033583242303,6,2,0,4,6,Hungary
Moritz Schwank,1984.23928466022,139.186333829613,11,2,0,9,6,Switzerland
Nuno Sequeira,1981.24980071254,134.065975898405,11,3,0,8,6,Portugal
John Foster,1980.89881935401,118.221132920079,12,4,0,8,0,Northern.Ireland
Aleksandr Blumental,1977.85288422863,200,0,0,0,0,0,Latvia
Andrei Isaev,1977.85288422863,200,0,0,0,0,0,Latvia
Sergei Lakissov,1977.85288422863,200,0,0,0,0,0,Latvia
Giaccomo Mader,1976.91711475601,200,0,0,0,0,0,Switzerland
Lorenz Gredig,1976.91711475601,200,0,0,0,0,0,Switzerland
Marc Trautmann,1976.91711475601,200,0,0,0,0,0,Switzerland
Marco Bernasconi,1976.91711475601,200,0,0,0,0,0,Switzerland
Pascal Kruttli,1976.91711475601,200,0,0,0,0,0,Switzerland
Joseph Hanna,1976.45788166111,172.441328479411,6,1,0,5,0,Middle.East
Lorand Sovenyhazi,1974.82656521512,128.538268436677,11,3,0,8,6,Hungary
LuboÅ¡ Hribik,1973.10854365138,154.316326989072,6,2,0,4,0,Czech.Republic
Nima Yaghmai,1968.55574691251,135.87336108015,11,2,0,9,6,Norway
Joan Butier,1968.29070300917,155.684974752429,6,2,0,4,0,Spain
Marc Simoni,1967.78984128409,109.951194750765,17,4,0,13,0,France
(C) Daniel Bogdanoski,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Adam Tuma,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Jiri Kares,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Lukáš Maršík,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Michal Dzurenda,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Štepán Slavík,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Tomáš Pešták,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Tomas Sedlon,1963.65192787773,200,0,0,0,0,0,Czech.Republic
Stepan Slavik,1963.65192787773,0,0,0,0,0,0,Czech.Republic
Golitsyn Oleksandr,1956.64811301842,152.912452946714,6,2,0,4,6,Ukraine
Federico Ingrosso,1955.3187581174,137.142661829024,11,2,0,9,6,Italy
Cornelius,1950.19449312577,172.381535955189,5,1,0,4,12,Denmark
Chris Wright,1945.04844076936,158.016517956231,6,1,0,5,0,Northern.Ireland
Anthony Ferraiolo,1944.79117146775,183.829039628429,6,0,0,6,6,USA
Spyros Mygdanis,1944.76913322853,154.099830842731,6,1,0,5,0,Greece
Evgeny Orelkin,1939.08008646829,166.58398293494,5,1,0,4,12,Russia
Thomas Fuchs,1935.42481863212,162.868813397299,6,1,0,5,6,Switzerland
Vladimir Kokolia,1935.2820805568,150.916392036059,6,1,0,5,6,Czech.Republic
Ran Tao,1934.7340049507,153.805248289183,6,1,0,5,6,China
Freek Punt,1931.46402596539,162.357393938337,6,1,0,5,6,Netherlands
Andrew Galea,1931.34100586705,160.523385423644,6,1,0,5,6,Malta
Dmitri Pechonkin,1929.62870861708,157.169067214217,6,1,0,5,6,Latvia
Dominique Majoie,1929.29298103047,170.821328786542,5,1,0,4,12,Belgium
Leif Bohli,1925.08601634104,131.361791667863,11,2,0,9,0,Norway
Tomek Dobros,1923.94358138505,152.074318123413,6,1,0,5,0,Northern.Ireland
Eoin Dornan,1914.37241703565,154.626478691032,6,1,0,5,6,Northern.Ireland
Alexandre Barbier,1911.4680307028,167.16071085446,5,1,0,4,12,Belgium
He Jiang,1911.35851366185,152.271828206478,6,1,0,5,0,China
Chen Ge,1909.53655415535,200,0,0,0,0,0,China
Gua,1909.53655415535,200,0,0,0,0,0,China
Guanbo Liu,1909.53655415535,200,0,0,0,0,0,China
Jason Mcleod,1909.53655415535,200,0,0,0,0,0,China
Lei,1909.53655415535,200,0,0,0,0,0,China
Wei Jin,1909.53655415535,200,0,0,0,0,0,China
Yang Song,1909.53655415535,200,0,0,0,0,0,China
Youwei Wu,1909.53655415535,200,0,0,0,0,0,China
Guangjie Wu,1909.2150318895,154.999266961355,6,1,0,5,6,China
Alan Buckley,1909.03607077349,154.2462303292,6,0,0,6,0,United.Nations
Andy Beattie,1905.02715412441,200,0,0,0,0,0,Northern.Ireland
Jonathon Graham,1905.02715412441,200,0,0,0,0,0,Northern.Ireland
Carlos Mendes,1904.5445531217,156.059203596474,6,1,0,5,0,Portugal
Mat McGinn,1903.37799008125,149.675367952876,6,1,0,5,0,Northern.Ireland
Wojciech Kat,1898.90756364867,175.301833973145,6,0,0,6,6,United.Nations
Luke Pollard,1894.59989246824,154.562286084511,6,1,0,5,0,China
Gerard O'Brien,1889.67133581064,158.024525366828,6,1,0,5,0,Northern.Ireland
Espen Dahl,1889.18705460389,148.956661324788,6,1,0,5,0,Norway
Qian Li,1888.07073551054,154.756919401631,6,1,0,5,6,China
Luis Ventura,1882.87458577129,123.951004548723,12,1,0,11,0,Portugal
Panagiotis Stathis,1882.56562899832,169.972465243157,6,0,0,6,6,Greece
Lukas Walliser,1872.1945787102,158.095639263379,6,0,0,6,0,Switzerland
Bastien Gradon,1871.57478956242,157.705931104404,6,1,0,5,6,France
Stathis Panagiotis,1845.64368724401,180.708254631868,6,0,0,6,0,Greece
Adam Fox,1845.08797780551,118.630697655418,12,2,0,10,0,Northern.Ireland
Robi Deola,1837.44310939944,121.183358840265,12,2,0,10,0,Switzerland
Maurus Markwalder,1835.91535821677,133.761820414485,12,1,0,11,0,Switzerland
Magnus Aagaard-Nielsen,1834.94118558546,168.203719231815,6,0,0,6,6,Denmark
Romeu Silva,1833.84790484157,134.003543529475,12,1,0,11,0,Portugal
Christophe Smit,1832.47112761664,135.057789358933,11,1,0,10,6,Belgium
Sergi del Molino,1822.17040774784,163.971220299853,6,0,0,6,0,Spain
Ã‰ric Grux,1820.87852602719,170.776038916261,5,0,0,5,12,France
Ian Bonaci,1812.98354003015,153.225112287039,6,0,0,6,6,Malta
Dmitrii Maliuev,1805.89440844798,164.447861381491,6,0,0,6,6,Russia
Packer,1802.00010096276,154.389113083034,6,1,0,5,6,Latvia
Agis Theodoropoulos,1801.54744713766,167.504637023113,6,0,0,6,6,Greece
Aleksei Guk,1800,200,0,0,0,0,0,Russian
Brin Blatnik,1800,200,0,0,0,0,0,Slovenia
Dmitrii Tochenov,1800,200,0,0,0,0,0,Russian
Enrique Sanchez,1800,200,0,0,0,0,0,UAE
Jan Kleva Ivancic,1800,200,0,0,0,0,0,Slovenia
Jean-Sebastien Imbeau,1800,200,0,0,0,0,0,Slovenia
John Helz,1800,200,0,0,0,0,0,UAE
Mike Dunlop,1800,200,0,0,0,0,0,UAE
Nathan Bosa,1800,200,0,0,0,0,0,UAE
Olivier Gheysen,1800,200,0,0,0,0,0,UAE
Tomaz Kovacic,1800,200,0,0,0,0,0,Slovenia
Benoit Van Lee,1797.8252176865,167.960851461683,6,0,0,6,0,Belgium
Dimitris Vlachos,1789.88182873188,158.428620287626,6,0,0,6,0,Greece
Josef Skladanka,1788.85705086257,127.254108779758,12,0,0,12,0,Czech.Republic
Javier Pozo,1785.22009269191,165.303157878929,6,0,0,6,0,Spain
Paulo Morais,1784.5164707614,129.041616579198,11,1,0,10,6,Portugal
Albert Adolf,1776.81333987659,146.406929362201,11,0,0,11,6,Hungary
Shostak Dmytro,1770.91030209028,157.930936599501,6,0,0,6,6,Ukraine
Zeren Fang,1753.53880692364,151.203264355308,6,0,0,6,0,China
Chris Gill,1692.87828867129,161.096984884815,6,0,0,6,0,Northern.Ireland
