team	player	faction	list	objective	wrname	tcname	id	cost
England Lions	Matt Goligher	trollbloods	Grim2	NA	Hunters Grim - WB: +25 - Effigy of Valour	Grim2 (Hunters Grim)	TW13	25
England Lions	Nathan Hoole	cygnar	Brisbane1	NA	Siege Brisbane - WB: +28 - Bunker	Brisbane1 (Major Markus 'Siege' Brisbane)	YW05	28
England Lions	Nathan Hoole	cygnar	Stryker2	NA	Stryker2 - WB: +28 - Arcane Wonder	Stryker2 (Lord Commander Stryker)	YW13	28
England Knights	Chris Murdoch (Mercenaries, Captain)	mercenaries	Gorten1	NA	Gorten Grundback - WJ: +31	Gorten1 (Gorten Grundback)	MW02	31
England Knights	Chris Murdoch (Mercenaries, Captain)	mercenaries	MacBain1	NA	Drake MacBain - WJ: +30	MacBain1 (Drake MacBain)	MW08	30
England Knights	Andy McBirnie (Cryx)	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
England Knights	Andy McBirnie (Cryx)	cryx	Skarre2	NA	Skarre, Queen of the Broken Coast - WJ: +26	Skarre2 (Skarre, Queen of the Broken Coast)	CW14	26
England Knights	Andrew Kenny (Trolls)	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
England Knights	Andrew Kenny (Trolls)	trollbloods	Ragnor	NA	Ragnor Skysplitter, the Runemaster - WB: +30	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
England Knights	Andy Garrard (Trolls)	trollbloods	Grissel2	NA	Grissel Bloodsong, Marshal of the Kriels - WB: +27	Grissel2 (Grissel Bloodsong Marshal of the Kriels)	TW12	27
England Knights	Andy Garrard (Trolls)	trollbloods	Grim2	NA	Hunters Grim - WB: +25	Grim2 (Hunters Grim)	TW13	25
England Knights	Jamie Cooke-Rogers (Legion)	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
England Knights	Jamie Cooke-Rogers (Legion)	legion	Kallus1	NA	Kallus, Wrath of Everblight - WB: +30	Kallus1 (Kallus Wrath of Everblight)	EW08	30
Finland Väinämöinen	Jaakko Uusitupa (captain)	cygnar	Haley1	Objective:  Arcane Wonder	Captain Victoria Haley - WJ: +28	Haley1 (Captain Victoria Haley)	YW01	28
Finland Väinämöinen	Jaakko Uusitupa (captain)	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Finland Väinämöinen	Tatu Purhonen	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
Finland Väinämöinen	Tatu Purhonen	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Finland Väinämöinen	Pauli Lehtoranta	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Finland Väinämöinen	Pauli Lehtoranta	minions	Arkadius1	NA	Dr. Arkadius - WB: +32	 Arkadius1 (Dr. Arkadius)	IW04	32
Finland Väinämöinen	Tero Särkijärvi	cryx	Goreshade2	NA	Goreshade the Cursed - WJ: +28	Goreshade2 (Goreshade the Cursed)	CW15	27
Finland Väinämöinen	Tero Särkijärvi	cryx	Goreshade1	NA	Goreshade the Bastard - WJ: +27	Goreshade1 (Goreshade the Bastard)	CW05	27
Finland Väinämöinen	Mikko Heinola	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza WJ:+29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Finland Väinämöinen	Mikko Heinola	protectorate	Severius2	NA	Hierarch Severius WJ:+26pts	Severius2 (Hierarch Severius)	PW14	26
Finland Ilmarinen	Teemu Aro	khador	Vladimir2	NA	(Vladimir 2) Vladimir Tzepesci, The Dark Champion [+27]	 Vladimir2 (Vladimir Tzepesci The Dark Champion)	KW13	27
Finland Ilmarinen	Teemu Aro	khador	Harkevich1	NA	(Harkevich 1) Kommander Harkevich, The Iron Wolf [+28]	 Harkevich1 (Kommander Harkevich The Iron Wolf )	KW09	28
Finland Ilmarinen	Teppo Aro	cygnar	Nemo3	NA	(Nemo 3) Artificer General Nemo [+25]	Nemo3 (Artificer General Nemo & Storm Chaser Adept Finch)	YW18	25
Finland Ilmarinen	Teppo Aro	cygnar	Darius1	NA	(Darius 1) Captain E. Dominic Darius [+29]	Darius1 (Captain E. Dominic Darius & Halfjacks)	YW07	29
Finland Ilmarinen	Hermanni Raatevaara	khador	Irusk2	NA	(Irusk 2) Supreme Kommandant Irusk [+27]	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Finland Ilmarinen	Hermanni Raatevaara	khador	Karchev1	NA	(Karchev 1) Karchev the Terrible [+30]	 Karchev1 (Karchev the Terrible)	KW05	30
Finland Ilmarinen	Samu Järvinen	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Finland Ilmarinen	Samu Järvinen	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Finland Ilmarinen	Iiro Järvenpää	skorne	Rasheth1	NA	Dominar Rasheth - WB: +28	 Rasheth1 (Dominar Rasheth)	SW07	28
Finland Ilmarinen	Iiro Järvenpää	skorne	Zaal1	NA	Supreme Aptimus Zaal - WB: +26	 Zaal1 (Supreme Aptimus Zaal & Kovaas)	SW05	26
Finland Joukahainen	Jani Kautto	protectorate	Amon1	Arcane Wonder - Steamroller Objective	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Finland Joukahainen	Jani Kautto	protectorate	Thyra1	NA	Thyra, Flame of Sorrow - WJ: +29	Thyra1 (Thyra Flame of Sorrow)	PW09	29
Finland Joukahainen	Tuomas Toimela	skorne	Rasheth1	NA	Dominar Rasheth - WB: +28	 Rasheth1 (Dominar Rasheth)	SW07	28
Finland Joukahainen	Tuomas Toimela	skorne	Xerxis1	NA	Tyrant Xerxis - WB: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Finland Joukahainen	Antti Jussila	mercenaries	Thexus1	NA	Exulon Thexus - WJ: +29	Thexus1 (Exulon Thexus)	MW11	29
Finland Joukahainen	Antti Jussila	mercenaries	Magnus2	NA	Magnus the Warlord - WJ: +28	Magnus2 (Magnus the Warlord)	MW13	28
Finland Joukahainen	Joonas Heinonen	convergence	Iron Mother Directrix	NA	Iron Mother Directrix & Exponent Servitors - WJ: +27	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
Finland Joukahainen	Joonas Heinonen	convergence	Axis	NA	Axis, The Harmonic Enforcer - WJ: +30	Axis (Axis the Harmonic Enforcer)	COCW02	30
Finland Joukahainen	Jarkko Vähämaa	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
Finland Joukahainen	Jarkko Vähämaa	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
France Asterix	Julien Dupoirieux Gamin - Captain	circle	Baldur2	Arcane Wonder (Steamroller) [0]	(Baldur 2) Baldur the Stonesoul [+30]	Baldur2 (Baldur the Stonesoul)	OW11	30
France Asterix	Julien Dupoirieux Gamin - Captain	circle	Tanith1	Arcane Wonder (Steamroller) [0]	(Tanith 1) Tanith the Feral Song [+31]	Tanith1 (Tanith the Feral Song)	OW15	31
France Asterix	Pierre Arnauld de Seze Connetable	khador	Butcher3	NA	(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
France Asterix	Pierre Arnauld de Seze Connetable	khador	Harkevich1	NA	(Harkevich 1) Kommander Harkevich, The Iron Wolf [+28]	 Harkevich1 (Kommander Harkevich The Iron Wolf )	KW09	28
France Asterix	Victor Pons Tec	trollbloods	Madrak2	NA	(Madrak 2) Madrak Ironhide, World Ender [+28]	Madrak2 (Madrak Ironhide World Ender)	TW10	28
France Asterix	Victor Pons Tec	trollbloods	Calandra	NA	(Calandra 1) Calandra Truthsayer, Oracle of the Glimmerwood [+27]	Calandra (Calandra Truthsayer Oracle of the Glimmerwood)	TW06	27
France Asterix	Antoine Granet Tza	circle	Wurmwood1	NA	(Wurmwood 1) Wurmwood, Tree of Fate [+27]	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
France Asterix	Antoine Granet Tza	circle	Morvahna2	NA	(Morvahna 2) Morvahna the Dawnshadow [+27]	Morvahna2 (Morvahna the Dawnshadow)	OW14	27
France Asterix	Matthieu Vega Mouskapet	cryx	Scaverous1	NA	(Scaverous 1) Lord Exhumator Scaverous [+27]	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
France Asterix	Matthieu Vega Mouskapet	cryx	Skarre1	NA	(Skarre 1) Pirate Queen Skarre [+28]	Skarre1 (Pirate Queen Skarre)	CW03	28
France Obelix	Baptiste "Feyall" Schmittlin	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
France Obelix	Baptiste "Feyall" Schmittlin	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
France Obelix	Kevin "Dibbouk" Aourragh	cryx	Scaverous1	NA	Lord Exhumator Scaverous - WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
France Obelix	Kevin "Dibbouk" Aourragh	cryx	Skarre1	NA	Pirate Queen Skarre - WJ: +28	Skarre1 (Pirate Queen Skarre)	CW03	28
France Obelix	Adrien "Lucifell" Cahier	khador	Harkevich1	NA	Kommander Harkevich, The Iron Wolf - WJ: +28	 Harkevich1 (Kommander Harkevich The Iron Wolf )	KW09	28
France Obelix	Adrien "Lucifell" Cahier	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
France Obelix	Kévin "Kevina" Maeder	legion	Thagrosh1	NA	Thagrosh, Prophet of Everblight - WB: +28	Thagrosh1 (Thagrosh Prophet of Everblight)	EW02	28
France Obelix	Kévin "Kevina" Maeder	legion	Rhyas1	NA	Rhyas, Sigil of Everblight - WB: +30	Rhyas1 (Rhyas Sigil of Everblight)	EW04	30
France Obelix	Alexandre "Cheveu" Maiffret	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
France Obelix	Alexandre "Cheveu" Maiffret	circle	Grayle1	NA	Grayle the Farstrider - WB: +29	Grayle1 (Grayle the Farstrider)	OW08	29
Germany Gold	Christopher Müller	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Germany Gold	Christopher Müller	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Germany Gold	Christian Metz	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Germany Gold	Christian Metz	khador	Harkevich1	NA	Kommander Harkevich, The Iron Wolf - WJ: +28	 Harkevich1 (Kommander Harkevich The Iron Wolf )	KW09	28
Germany Gold	Bernhard Fischer	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Germany Gold	Bernhard Fischer	circle	Kaya2	NA	Kaya the Moonhunter - WB: +24	Kaya2 (Kaya the Moonhunter & Laris)	OW12	24
Germany Gold	Moritz Gatt	protectorate	Kreoss1	NA	High Exemplar Kreoss - WJ: +29	Kreoss1 (High Exemplar Kreoss)	PW01	29
Germany Gold	Moritz Gatt	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Germany Gold	Philipp Schaper	retribution	Ravyn1	NA	Ravyn, The Eternal Light - WJ: +30	 Ravyn1 (Ravyn Eternal Light)	RW05	30
Germany Gold	Philipp Schaper	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Germany Red	Hinnerk Fischer	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Germany Red	Hinnerk Fischer	protectorate	Thyra1	NA	Thyra, Flame of Sorrow - WJ: +29	Thyra1 (Thyra Flame of Sorrow)	PW09	29
Germany Red	Florian Platte	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Germany Red	Florian Platte	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Germany Red	Alfredo Virgillito	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Germany Red	Alfredo Virgillito	trollbloods	Hoarluk2	NA	Hoarluk Doomshaper, Rage of Dhunia - WB: +27	Hoarluk2 (Hoarluk Doomshaper Rage of Dhunia)	TW11	27
Germany Red	Martin Huf	legion	Vayl2	NA	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Germany Red	Martin Huf	legion	Kallus1	NA	Kallus, Wrath of Everblight - WB: +30	Kallus1 (Kallus Wrath of Everblight)	EW08	30
Germany Red	Niels Pecherz	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Germany Red	Niels Pecherz	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Germany Black	Ben Füzi: Haley2+Kara Sloan	cygnar	Haley2	NA	Haley2 (Major Victoria Haley)(-25 Pts.)	Haley2 (Major Victoria Haley)	YW12	25
Germany Black	Ben Füzi: Haley2+Kara Sloan	cygnar	Kara Sloan1	NA	Kara Sloan1 (Captain Kara Sloan) (-28 Pts.)	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Germany Black	Dominik de Cassan: Axis+Iron Mother	convergence	Axis	NA	Axis, The Harmonic Enforcer - WJ: +30	Axis (Axis the Harmonic Enforcer)	COCW02	30
Germany Black	Dominik de Cassan: Axis+Iron Mother	convergence	Iron Mother Directrix	NA	Iron Mother Directrix & Exponent Servitors - WJ: +27	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
Germany Black	Sascha Maisel: Reclaimer+Testament	protectorate	High Reclaimer1	NA	The High Reclaimer (-32 Pts.)	High Reclaimer1 (The High Reclaimer)	PW02	32
Germany Black	Sascha Maisel: Reclaimer+Testament	protectorate	High Reclaimer2	NA	The Testament of Menoth (-27 Pts.)	High Reclaimer2 (Testament of Menoth)	PW13	27
Germany Black	Robin Maukisch: Wurmwood + Baldur2	circle	Wurmwood1	NA	Wurmwood1 (Wurmwood Tree of Fate & Cassius)(-27 Pts.)	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Germany Black	Robin Maukisch: Wurmwood + Baldur2	circle	Baldur2	NA	Baldur2 (Baldur the Stonesoul) (-30 Pts.)	Baldur2 (Baldur the Stonesoul)	OW11	30
Germany Black	Moritz Riegler: Vyros2 + Ossyan	retribution	Vyros2	NA	Vyros2 (Vyros Incissar of the Dawnguard) (-27 Pts.)	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Germany Black	Moritz Riegler: Vyros2 + Ossyan	retribution	Ossyan1	NA	Ossyan1 (Lord Arcanist Ossyan) (-28 Pts.)	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Greece Epic	Spyros Karakitsos "Skario" Cryx	cryx	Skarre1	NA	Pirate Queen Skarre - WJ: +28	Skarre1 (Pirate Queen Skarre)	CW03	28
Greece Epic	Spyros Karakitsos "Skario" Cryx	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
Greece Epic	Andreas Rizopoulos - Skorne	skorne	Rasheth1	NA	Dominar Rasheth - WB: +28	 Rasheth1 (Dominar Rasheth)	SW07	28
Greece Epic	Andreas Rizopoulos - Skorne	skorne	Xerxis1	NA	Tyrant Xerxis - WB: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Greece Epic	Marios Oikonomopoulos - Legion of Everblight	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Greece Epic	Marios Oikonomopoulos - Legion of Everblight	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Greece Epic	Konstantinos Oikonomopoulos - Khador	khador	Harkevich1	NA	Kommander Harkevich, The Iron Wolf - WJ: +28	 Harkevich1 (Kommander Harkevich The Iron Wolf )	KW09	28
Greece Epic	Konstantinos Oikonomopoulos - Khador	khador	Sorscha1	NA	Kommander Sorscha - WJ: +29	 Sorscha1 (Kommander Sorscha)	KW02	29
Greece Epic	Giannis Agoras - Convergence of Cyriss	convergence	Aurora	NA	Aurora, The Numen of Aerogenesis - WJ: +29	Aurora (Aurora Numen of Aerogenesis)	COCW01	29
Greece Epic	Giannis Agoras - Convergence of Cyriss	convergence	Lucant	NA	Father Lucant, The Divinity Architect - WJ: +28	Lucant (Father Lucant Divinity Architect)	COCW04	28
Greece Prime	George Banavos (Captain)	skorne	Rasheth1	Obj : Arcane Wonder	(Rasheth 1) Dominar Rasheth [+28]	 Rasheth1 (Dominar Rasheth)	SW07	28
Greece Prime	George Banavos (Captain)	skorne	Hexeris2	NA	(Hexeris 2) Lord Arbiter Hexeris [+27]	 Hexeris2 (Lord Arbiter Hexeris)	SW12	27
Greece Prime	Nikos Kerazoglou	khador	Butcher3	NA	Kommander Zoktavir, the Butcher Unleashed - WJ: +22	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Greece Prime	Nikos Kerazoglou	khador	Harkevich1	NA	Kommander Harkevich, The Iron Wolf - WJ: +28	 Harkevich1 (Kommander Harkevich The Iron Wolf )	KW09	28
Greece Prime	Orestis Argiropoulos	cryx	Agathia1	NA	(Agathia 1) Bane Witch Agathia [+29]	Agathia1 (Bane Witch Agathia)	CW11	29
Greece Prime	Orestis Argiropoulos	cryx	Skarre1	NA	(Skarre 1) Pirate Queen Skarre [+28]	Skarre1 (Pirate Queen Skarre)	CW03	28
Greece Prime	Dimitris Kasdiovasilis	trollbloods	Ragnor	NA	Ragnor (Ragnor Skysplitter The Runemaster) (-30 Pts.)	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
Greece Prime	Dimitris Kasdiovasilis	trollbloods	Jarl1	NA	Jarl1 (Jarl Skuld Devil of the Thornwood) (-30 Pts.)	Jarl1 (Jarl Skuld Devil of the Thornwood)	TW08	30
Greece Prime	Panagiotis Demiris	skorne	Zaal1	NA	Supreme Aptimus Zaal - WB: +26	 Zaal1 (Supreme Aptimus Zaal & Kovaas)	SW05	26
Greece Prime	Panagiotis Demiris	skorne	Naaresh1	NA	Master Ascetic Naaresh - WB: +32	 Naaresh1 (Master Ascetic Naaresh)	SW08	32
Hungary		khador	Butcher1	Arcane Wonder - Steamroller Objective	Orsus Zoktavir, The Butcher of Khardov - WJ: +28	 Butcher1 (Orsus Zoktavir The Butcher of Khardov)	KW01	28
Hungary		khador	Karchev1	NA	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Hungary		cryx	Scaverous1	NA	Lord Exhumator Scaverous - WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
Hungary		cryx	Venethrax1	NA	Lich Lord Venethrax - WJ: +26	Venethrax1 (Lich Lord Venethrax)	CW08	26
Hungary		trollbloods	Borka1	NA	 Borka Kegslayer - WB: +28	Borka1 (Borka Kegslayer & Pyg Keg Carrier)	TW05	28
Hungary		trollbloods	Grissel2	NA	 Grissel Bloodsong, Marshal of the Kriels - WB: +27	Grissel2 (Grissel Bloodsong Marshal of the Kriels)	TW12	27
Hungary		cygnar	Nemo1	NA	Commander Adept Nemo - WJ: +30	Nemo1 (Commander Adept Nemo)	YW04	30
Hungary		cygnar	Maddox1	NA	 Major Beth Maddox - WJ: +30	Maddox1 (Major Beth Maddox)	YW11	30
Hungary		khador	Irusk2	NA	 Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Hungary		khador	Vladimir1	NA	 Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Ireland Ceol	List 1	legion	Absylonia2	Arcane Wonder - Steamroller Objective	Absylonia, Daughter of Everblight [+28]	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Ireland Ceol	List 1	legion	Vayl2	NA	Vayl, Consul of Everblight [+28]	Vayl2 (Vayl Consul of Everblight)	EW12	28
Ireland Ceol	List 2	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Ireland Ceol	List 2	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Ireland Ceol	List 1	trollbloods	Hoarluk2	NA	Hoarluk Doomshaper, Rage of Dhunia [+27]	Hoarluk2 (Hoarluk Doomshaper Rage of Dhunia)	TW11	27
Ireland Ceol	List 1	trollbloods	Madrak2	NA	(Madrak 2) Madrak Ironhide, World Ender [+28]	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Ireland Ceol	List 2	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Ireland Ceol	List 2	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Ireland Ceol	List 1	circle	Wurmwood1	NA	-Cassius	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Ireland Ceol	List 1	circle	Baldur2	NA	Baldur2 - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Ireland Craic		cygnar	Haley2	Arcane Wonder - Steamroller Objective	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Ireland Craic		cygnar	Caine2	Arcane Wonder - Steamroller Objective	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Ireland Craic		legion	Thagrosh2	Arcane Wonder - Steamroller Objective	Thagrosh, the Messiah - WB: +25	Thagrosh2 (Thagrosh the Messiah)	EW11	25
Ireland Craic		legion	Vayl2	NA	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Ireland Craic		trollbloods	Hoarluk1	NA	Hoarluk Doomshaper, Shaman of the Gnarls - WB: +29	Hoarluk1 (Hoarluk Doomshaper Shaman of the Gnarls)	TW02	29
Ireland Craic		trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Ireland Craic		protectorate	Kreoss1	NA	High Exemplar Kreoss - WJ: +29	Kreoss1 (High Exemplar Kreoss)	PW01	29
Ireland Craic		protectorate	Thyra1	NA	Thyra, Flame of Sorrow - WJ: +29	Thyra1 (Thyra Flame of Sorrow)	PW09	29
Ireland Craic		skorne	Naaresh1	NA	Master Ascetic Naaresh - WB: +32	 Naaresh1 (Master Ascetic Naaresh)	SW08	32
Ireland Craic		skorne	Xerxis1	NA	Tyrant Xerxis - WB: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Italy Leonardo		protectorate	Reznik1	NA	High Executioner Servath Reznik - WJ: +28	Reznik1 (High Executioner Servath Reznik)	PW07	28
Italy Leonardo		protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Italy Leonardo		khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Italy Leonardo		khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Italy Leonardo		trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Italy Leonardo		trollbloods	Hoarluk3	NA	Hoarluk Doomshaper, Dire Prophet & Scroll Bearers - WB: +26	Hoarluk3 (Hoarluk Doomshaper Dire Prophet & Scroll Bearers)	TW16	26
Italy Leonardo		cryx	Terminus1	NA	Lich Lord Terminus - WJ: +26	Terminus1 (Lich Lord Terminus)	CW04	26
Italy Leonardo		cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
Italy Leonardo		cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Italy Leonardo		cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Italy Michelangelo		cygnar	Caine2	NA	(Caine 2) Captain Allister Caine [+27]	Caine2 (Captain Allister Caine)	YW14	27
Italy Michelangelo		cygnar	Haley2	NA	(Haley 2) Major Victoria Haley [+25]	Haley2 (Major Victoria Haley)	YW12	25
Italy Michelangelo		retribution	Ossyan1	NA	(Ossyan 1) Lord Arcanist Ossyan [+28]	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Italy Michelangelo		retribution	Vyros2	NA	(Vyros 2) Vyros, Incissar of the Dawnguard [+27]	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Italy Michelangelo		trollbloods	Madrak2	NA	(Madrak 2) Madrak Ironhide, World Ender [+28]	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Italy Michelangelo		trollbloods	Gunnbjorn	NA	(Gunnbjorn 1) Captain Gunnbjorn [+28]	Gunnbjorn (Captain Gunnbjorn)	TW07	28
Italy Michelangelo		protectorate	Severius2	NA	(Severius 2) Hierarch Severius [+26]	Severius2 (Hierarch Severius)	PW14	26
Italy Michelangelo		protectorate	High Reclaimer1	NA	(High Reclaimer 1) The High Reclaimer [+32]	High Reclaimer1 (The High Reclaimer)	PW02	32
Italy Michelangelo		legion	Lylyth3	NA	(Lylyth 3) Lylyth, Reckoning of Everblight [+29]	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Italy Michelangelo		legion	Thagrosh1	NA	(Thagrosh 1) Thagrosh, Prophet of Everblight [+28]	Thagrosh1 (Thagrosh Prophet of Everblight)	EW02	28
Latvia		legion	Lylyth3	Arcane Wonder - Steamroller Objective	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Latvia		legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Latvia		mercenaries	Cyphon1	NA	Cognifex Cyphon - WJ: +29	Cyphon1 (Cognifex Cyphon)	MW12	29
Latvia		mercenaries	Thexus1	NA	Exulon Thexus - WJ: +29	Thexus1 (Exulon Thexus)	MW11	29
